"u_sol","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.39336,1,0.08,0.5,0.08,0
-0.39553,1,0.081,0.5,0.081,0
-0.3977,1,0.082,0.5,0.082,0
-0.39988,1,0.083,0.5,0.083,0
-0.40205,1,0.084,0.5,0.084,0
-0.40422,1,0.085,0.5,0.085,0
-0.40639,1,0.086,0.5,0.086,0
-0.40857,1,0.087,0.5,0.087,0
-0.41074,1,0.088,0.5,0.088,0
-0.41291,1,0.089,0.5,0.089,0
-0.41509,1,0.09,0.5,0.09,0
-0.41726,1,0.091,0.5,0.091,0
-0.41943,1,0.092,0.5,0.092,0
-0.4216,1,0.093,0.5,0.093,0
-0.42314,1,0.094,0.5,0.094,0
-0.42275,1,0.095,0.5,0.095,0
-0.42236,1,0.096,0.5,0.096,0
-0.42198,1,0.097,0.5,0.097,0
-0.42159,1,0.098,0.5,0.098,0
-0.4212,1,0.099,0.5,0.099,0
-0.42082,1,0.1,0.5,0.1,0
-0.42043,1,0.101,0.5,0.101,0
-0.42004,1,0.102,0.5,0.102,0
-0.41965,1,0.103,0.5,0.103,0
-0.41927,1,0.104,0.5,0.104,0
-0.41888,1,0.105,0.5,0.105,0
-0.41849,1,0.106,0.5,0.106,0
-0.41811,1,0.107,0.5,0.107,0
-0.41772,1,0.108,0.5,0.108,0
-0.41733,1,0.109,0.5,0.109,0
-0.41694,1,0.11,0.5,0.11,0
-0.41656,1,0.111,0.5,0.111,0
-0.41617,1,0.112,0.5,0.112,0
-0.41578,1,0.113,0.5,0.113,0
-0.4154,1,0.114,0.5,0.114,0
-0.41501,1,0.115,0.5,0.115,0
-0.41462,1,0.116,0.5,0.116,0
-0.41424,1,0.117,0.5,0.117,0
-0.41385,1,0.118,0.5,0.118,0
-0.41346,1,0.119,0.5,0.119,0
-0.41307,1,0.12,0.5,0.12,0
-0.41269,1,0.121,0.5,0.121,0
-0.4123,1,0.122,0.5,0.122,0
-0.41191,1,0.123,0.5,0.123,0
-0.41153,1,0.124,0.5,0.124,0
